scaling_factor,k,dataset:0,dataset:1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
1.0,1.0,glue-cola,glue-mnli,0.0210930009587727,0.610625,0.0,0.0,0.447653429602888,0.0045871559633027,,0.1548512266464233
1.0,0.5,glue-cola,glue-mrpc,0.5963566634707574,0.0,0.696078431372549,0.0,0.0,0.0,,0.1846335849776152
1.0,0.5,glue-cola,glue-qqp,0.5743048897411314,0.0,0.0,0.710625,0.0,0.0,,0.18356141282016164
1.0,1.0,glue-cola,glue-rte,0.6673058485139022,0.0,0.0,0.0,0.7328519855595668,0.0,,0.20002254772478129
1.0,1.0,glue-cola,glue-sst2,0.5953978906999041,0.0,0.0,0.0,0.0,0.9162844036697247,,0.21595461348137554
1.0,0.5,glue-cola,glue-stsb,0.6519654841802492,0.0,0.0,0.0,0.0,0.0,0.8474505529037467,0.21420229101199942
1.0,0.75,glue-mnli,glue-mrpc,0.0,0.575625,0.7107843137254902,0.0,0.2021660649819494,0.0,,0.21265362552963427
1.0,0.75,glue-mnli,glue-qqp,0.0,0.69375,0.0,0.658125,0.0722021660649819,0.0022935779816513,,0.20376724914951902
1.0,0.75,glue-mnli,glue-rte,0.0,0.645625,0.0,0.0,0.5234657039711191,0.0,,0.16701295771015987
1.0,1.0,glue-mnli,glue-sst2,0.0,0.603125,0.0,0.0,0.3898916967509025,0.6238532110091743,,0.23098141539429667
1.0,1.0,glue-mnli,glue-stsb,0.0,0.008125,0.0,0.0,0.0,0.0,0.8168110522478315,0.11784800746397593
1.0,1.0,glue-mrpc,glue-qqp,0.0,0.0,0.2990196078431372,0.6575,0.0,0.0,,0.1366456582633053
1.0,0.75,glue-mrpc,glue-rte,0.0,0.0,0.3676470588235294,0.0,0.0,0.0,,0.05252100840336134
1.0,0.5,glue-mrpc,glue-sst2,0.0,0.0,0.7230392156862745,0.0,0.0,0.9036697247706422,,0.23238699149384523
1.0,0.75,glue-mrpc,glue-stsb,0.0,0.0,0.1495098039215686,0.0,0.0,0.0,0.8022403205280575,0.13596430349280372
1.0,0.75,glue-qqp,glue-rte,0.0,0.0,0.0,0.694375,0.0,0.0,,0.09919642857142856
1.0,0.75,glue-qqp,glue-sst2,0.0,0.0,0.0,0.805625,0.0,0.9128440366972476,,0.2454955766710354
1.0,0.75,glue-qqp,glue-stsb,0.0,0.0,0.0,0.28125,0.0,0.0,0.8430435431156565,0.16061336330223666
1.0,0.5,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.6425992779783394,0.9185779816513762,,0.22302532280424509
1.0,0.75,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,0.8570892844358293,0.12244132634797562
1.0,0.5,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0825688073394495,0.827828975007367,0.13005682604954522
