scaling_factor,k,dataset:0,dataset:1,dataset:2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
1.0,0.75,glue-cola,glue-mnli,glue-mrpc,0.5973154362416108,0.430625,0.2352941176470588,0.0,0.1263537906137184,0.0057339449541284,,0.1993317556366452
1.0,0.75,glue-cola,glue-mnli,glue-qqp,0.3192713326941515,0.478125,0.0,0.136875,0.0613718411552346,0.1032110091743119,,0.15697916900338543
1.0,0.75,glue-cola,glue-mnli,glue-rte,0.6193672099712368,0.443125,0.0,0.0,0.5270758122743683,0.0,,0.22708114603508647
1.0,0.75,glue-cola,glue-mnli,glue-sst2,0.1035474592521572,0.42625,0.0,0.0,0.1732851985559566,0.8818807339449541,,0.2264233416790097
1.0,0.5,glue-cola,glue-mnli,glue-stsb,0.4017257909875359,0.051875,0.0,0.0,0.0,0.0,0.8155795197804322,0.1813114729668526
1.0,0.75,glue-cola,glue-mrpc,glue-qqp,0.1975071907957814,0.0,0.3161764705882353,0.621875,0.0,0.0,,0.16222266591200235
1.0,0.5,glue-cola,glue-mrpc,glue-rte,0.2109300095877277,0.0,0.3161764705882353,0.0,0.0072202166064981,0.0,,0.07633238525463729
1.0,1.0,glue-cola,glue-mrpc,glue-sst2,0.5522531160115053,0.0,0.0931372549019607,0.0,0.0,0.7924311926605505,,0.20540308051057377
1.0,0.5,glue-cola,glue-mrpc,glue-stsb,0.5062320230105465,0.0,0.0833333333333333,0.0,0.0,0.0,0.775139766730938,0.19495787472497397
1.0,0.5,glue-cola,glue-qqp,glue-rte,0.4947267497603068,0.0,0.0,0.65875,0.2563176895306859,0.0,,0.20139920561299895
1.0,0.75,glue-cola,glue-qqp,glue-sst2,0.4832214765100671,0.0,0.0,0.51375,0.0,0.9013761467889908,,0.27119251761415114
1.0,0.5,glue-cola,glue-qqp,glue-stsb,0.5407478427612655,0.0,0.0,0.0,0.0,0.0,0.7865681246544651,0.1896165667736758
1.0,0.5,glue-cola,glue-rte,glue-sst2,0.5848513902205177,0.0,0.0,0.0,0.0180505415162454,0.9243119266055044,,0.21817340833460966
1.0,0.5,glue-cola,glue-rte,glue-stsb,0.5637583892617449,0.0,0.0,0.0,0.0,0.0,0.8165156464972012,0.19718200510842085
1.0,0.5,glue-cola,glue-sst2,glue-stsb,0.4554170661553212,0.0,0.0,0.0,0.0,0.8509174311926605,0.7715075913904254,0.2968345841054867
1.0,0.5,glue-mnli,glue-mrpc,glue-qqp,0.0,0.005,0.2696078431372549,0.255625,0.0,0.0,,0.07574754901960785
1.0,1.0,glue-mnli,glue-mrpc,glue-rte,0.0,0.198125,0.0,0.0,0.7003610108303249,0.0,,0.12835514440433213
1.0,0.75,glue-mnli,glue-mrpc,glue-sst2,0.0,0.359375,0.196078431372549,0.0,0.1191335740072202,0.7947247706422018,,0.209901682288853
1.0,0.5,glue-mnli,glue-mrpc,glue-stsb,0.0,0.03,0.0073529411764705,0.0,0.0,0.0,0.7952167711243011,0.11893853032868165
1.0,0.75,glue-mnli,glue-qqp,glue-rte,0.0,0.355625,0.0,0.601875,0.7545126353790613,0.0,,0.2445732336255802
1.0,0.75,glue-mnli,glue-qqp,glue-sst2,0.0,0.3975,0.0,0.24625,0.0108303249097472,0.8922018348623854,,0.22096887996744755
1.0,0.75,glue-mnli,glue-qqp,glue-stsb,0.0,0.218125,0.0,0.0,0.2274368231046931,0.0,0.6570748405861733,0.1575195233844095
1.0,0.5,glue-mnli,glue-rte,glue-sst2,0.0,0.493125,0.0,0.0,0.5234657039711191,0.8337155963302753,,0.2643294714716277
1.0,0.5,glue-mnli,glue-rte,glue-stsb,0.0,0.345625,0.0,0.0,0.5270758122743683,0.0,,0.12467154461062403
1.0,0.5,glue-mnli,glue-sst2,glue-stsb,0.0,0.144375,0.0,0.0,0.0144404332129963,0.2098623853211009,0.7767237696452175,0.16362879831133068
1.0,0.5,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.2965686274509804,0.298125,0.0,0.0,,0.0849562324929972
1.0,0.75,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.3112745098039216,0.6325,0.0,0.7121559633027523,,0.23656149615809627
1.0,0.75,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.3308823529411764,0.25,0.0,0.0,0.4578221114517882,0.1483863520561378
1.0,0.5,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.3161764705882353,0.0,0.0,0.6456422018348624,,0.13740266748901395
1.0,0.5,glue-mrpc,glue-rte,glue-stsb,0.0,0.0,0.2965686274509804,0.0,0.0,0.0,0.654282474487668,0.1358358717055212
1.0,0.5,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0759803921568627,0.0,0.0,0.8532110091743119,0.707755832141153,0.2338496047817611
1.0,0.5,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.6525,0.1660649819494584,0.9139908256880734,,0.2475079725196474
1.0,0.75,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.571875,0.0974729241877256,0.0,0.7229677881550443,0.19890224462039569
1.0,0.5,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.8371559633027523,0.6856829849049805,0.21754842117253329
1.0,0.5,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0321100917431192,0.7930971667371687,0.1178867512114697
