scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
1.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.1083413231064237,0.03625,0.2549019607843137,0.309375,0.0,0.0126146788990825,,0.10306899468425999
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.2387344199424736,0.28875,0.034313725490196,0.0,0.6714801444043321,0.0,,0.17618261283385742
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.4745925215723873,0.245,0.0,0.0,0.0,0.8623853211009175,,0.22599683466761494
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.3729626078619367,0.041875,0.0,0.0,0.0072202166064981,0.0,0.7637835237504226,0.16940590688840818
1.0,0.75,glue-cola,glue-mnli,glue-qqp,glue-rte,0.3528283796740172,0.375,0.0,0.44875,0.6353790613718412,0.0080275229357798,,0.2599978519973769
1.0,0.5,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.1725790987535954,0.245,0.0,0.0,0.0,0.9139908256880734,,0.19022427492023838
1.0,0.5,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0709491850431447,0.08,0.0,0.0,0.0,0.0,0.6778939734247255,0.11840616549541003
1.0,0.75,glue-cola,glue-mnli,glue-rte,glue-sst2,0.4554170661553212,0.43875,0.0,0.0,0.516245487364621,0.8509174311926605,,0.3230471406732289
1.0,0.5,glue-cola,glue-mnli,glue-rte,glue-stsb,0.0728667305848514,0.345625,0.0,0.0,0.5270758122743683,0.0,,0.1350810775513171
1.0,0.5,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.1764141898370086,0.125625,0.0,0.0,0.0144404332129963,0.8119266055045872,0.7259378383222208,0.26490629526811615
1.0,0.5,glue-cola,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.3063725490196078,0.330625,0.003610108303249,0.0,,0.09151537961755098
1.0,0.75,glue-cola,glue-mrpc,glue-qqp,glue-sst2,0.4007670182166826,0.0,0.2573529411764705,0.48875,0.0,0.6834862385321101,,0.2614794568464662
